Designated Area Name,County,Index of Medical Underservice Score,Rural Status,Year
Adelanto,San Bernardino ,58.9,Non-Rural,2006
Barstow,San Bernardino ,60.4,Rural,2006
Needles ,San Bernardino ,59.4,Rural,2006
San Bernadino ,San Bernardino ,59.3,Non-Rural,2006
San Bernardino ,San Bernardino ,58.7,Non-Rural,2006
Encanto/Lincoln Acres/National Cty/Paradise Hills,San Diego ,61.9,Non-Rural,2006
Mid-City East ,San Diego ,58.5,Non-Rural,2006
Mid-City West ,San Diego ,58.5,Non-Rural,2006
San Diego  ,San Diego ,59.7,Non-Rural,2006
San Diego ,San Diego ,50.5,Non-Rural,2006
Golden Gate Park/parkside ,San Francisco ,59.5,Non-Rural,2006
San Francisco ,San Francisco ,54.8,Non-Rural,2006
San Joaquin ,San Joaquin ,54.6,Non-Rural,2006
Arroyo Grande ,San Luis Obispo ,50.1,Non-Rural,2006
Morro Bay,San Luis Obispo ,56.5,Rural,2006
San Mateo ,San Mateo ,58.8,Non-Rural,2006
Guadalupe ,Santa Barbara ,61.1,Non-Rural,2006
Santa Clara ,Santa Clara ,61.9,Non-Rural,2006
Central Shasta ,Shasta ,61.1,Rural,2006
East Shasta/burney ,Shasta ,61,Rural,2006
Anderson/Cottonwood,Shasta ,61.5,Non-Rural,2006
East Sierra ,Sierra ,61.6,Rural,2006
West Sierra ,Sierra ,57.6,Rural,2006
Butte Valley,Siskiyou ,52,Rural,2006
Dunsmuir,Siskiyou ,62,Rural,2006
Etna/Fort Jones ,Siskiyou ,61.7,Rural,2006
McCloud-Medicine,Siskiyou ,50.7,Rural,2006
Hornbrook-Hilt,Siskiyou ,55,Rural,2006
Tule Lake,Siskiyou ,47.7,Rural,2006
 Rio Vista,Solano ,47,Rural,2006
Solano ,Solano ,59.9,Non-Rural,2006
Sonoma ,Sonoma ,50.2,Non-Rural,2006
Stanislaus ,Stanislaus ,61.1,Non-Rural,2006
Live Oak ,Sutter ,56.3,Non-Rural,2006
Meridian-robbins,Sutter ,57.1,Non-Rural,2006
South Sutter,Sutter ,61.1,Non-Rural,2006
Corning,Tehama ,61.1,Rural,2006
Hayfork ,Trinity ,54.7,Rural,2006
Mad River ,Trinity ,57.2,Rural,2006
Junction City/Weaverville,Trinity ,61.1,Rural,2006
Woodlake/Ivanhoe,Tulare ,54.2,Non-Rural,2006
Three Rivers,Tulare ,59.8,Rural,2006
Tulare ,Tulare ,56.2,Rural,2006
Tuolumne County,Tuolumne ,54.5,Rural,2006
Ventura ,Ventura ,61,Non-Rural,2006
Yolo ,Yolo ,53.2,Non-Rural,2006
Brownsville ,Yuba ,56,Non-Rural,2006
Wheatland,Yuba ,56.3,Non-Rural,2006
