Designated Area Name,County,Index of Medical Underservice Score,Rural Status,Year
Alameda ,Alameda ,58.3,Non-Rural,2016
Amador County,Amador ,58.8,Rural,2016
Feather Falls ,Butte ,50,Rural,2016
Oroville/Palermo ,Butte ,56.9,Rural,2016
Conta Costa ,Contra Costa ,56.7,Non-Rural,2016
Del Norte County,Del Norte ,61,Rural,2016
North El Dorado County,El Dorado ,58.8,Rural,2016
Pollock Pines,El Dorado ,61.2,Non-Rural,2016
Fresno ,Fresno ,59.7,Non-Rural,2016
Laton/Riverdale ,Fresno ,56.8,Rural,2016
Coalinga/Huron,Fresno ,59.4,Rural,2016
Kerman,Fresno ,53.9,Non-Rural,2016
San Joaquin-Tranquility ,Fresno ,60.9,Rural,2016
Firebaugh/ Mendota,Fresno,55.5,Rural,2016
Firebaugh/ Mendota,Merced ,55.5,Rural,2016
Orland ,Glenn ,56.8,Rural,2016
Arcata ,Humboldt ,59.8,Rural,2016
Ferndale ,Humboldt ,62,Rural,2016
Garberville/Redway ,Humboldt ,60.9,Rural,2016
McKinleyville ,Humboldt ,60.9,Rural,2016
North Coastal ,Humboldt ,58.3,Rural,2016
Willow Creek,Humboldt ,59.8,Rural,2016
Calexico ,Imperial ,51.03,Non-Rural,2016
West Imperial ,Imperial ,46,Rural,2016
Lone Pine/ Independence ,Inyo ,57.7,Rural,2016
Bakersfield East/Lakeview/La Loma ,Kern ,56.8,Non-Rural,2016
Kern ,Kern ,60.13,Rural,2016
Avenal ,Kings ,59.2,Rural,2016
Corcoran ,Kings ,59.3,Rural,2016
Lake County,Lake ,55.4,Rural,2016
Honey Lake ,Lassen ,60.6,Rural,2016
Westwood,Lassen ,58.4,Rural,2016
Boyle Higt C/ Cty Ter W,Los Angeles ,55.8,Non-Rural,2016
Chinatown/Dowtown/Echo Park South ,Los Angeles ,55,Non-Rural,2016
Compton East ,Los Angeles ,53.7,Non-Rural,2016
Culver City East ,Los Angeles ,52.7,Non-Rural,2016
Dntwn S. E./ Florence N.,Los Angeles ,49,Non-Rural,2016
Exposition/ Leimert Park ,Los Angeles ,53.6,Non-Rural,2016
Firestone/ Florence S.,Los Angeles ,53.7,Non-Rural,2016
Gardena ,Los Angeles ,58.3,Non-Rural,2016
Gardena W./ Hawthorne,Los Angeles ,61.2,Non-Rural,2016
Glassell P/glendale S E,Los Angeles ,58.5,Non-Rural,2016
Inglewood East,Los Angeles ,58.2,Non-Rural,2016
Juniper Hills/ Littlerock,Los Angeles ,60.3,Non-Rural,2016
Lake Los Angeles,Los Angeles ,60.2,Non-Rural,2016
Long Beach Port ,Los Angeles ,61.1,Non-Rural,2016
Long Beach/ West Central,Los Angeles ,59.9,Non-Rural,2016
Los Angeles ,Los Angeles ,57.3,Non-Rural,2016
Lynwood S/ Paramount N W,Los Angeles ,57.6,Non-Rural,2016
Pico Union/Westlake,Los Angeles ,51,Non-Rural,2016
El Sereno/Highland Park/Lincoln Heights,Los Angeles ,60.9,Non-Rural,2016
North Hollywood,Los Angeles ,55.9,Non-Rural,2016
North Long Beach ,Los Angeles ,59.9,Non-Rural,2016
Pacoima East/ Sun Valley,Los Angeles ,61.3,Non-Rural,2016
Panorama City,Los Angeles ,59.8,Non-Rural,2016
Pomona E./ Pomona S. ,Los Angeles ,57,Non-Rural,2016
Rosemead/ San Gabriel ,Los Angeles ,57.7,Non-Rural,2016
S. Central N. E. ,Los Angeles ,48.8,Non-Rural,2016
South Central Northwest,Los Angeles ,57.2,Non-Rural,2016
South Central S. W. ,Los Angeles ,47.9,Non-Rural,2016
Van Nuys Central ,Los Angeles ,61.1,Non-Rural,2016
Watts/ Willowbrook,Los Angeles ,51.1,Non-Rural,2016
Westlake ,Los Angeles ,60.1,Non-Rural,2016
Marin City Housing Project,Marin ,56.8,Non-Rural,2016
Mariposa,Mariposa ,59.9,Rural,2016
Mendocino County,Mendocino ,59.7,Rural,2016
 95/Ballico/Cressey/Delhi/Hilmar/Livingston,Merced ,61.3,Non-Rural,2016
MODOC ,Modoc ,53.8,Rural,2016
Monterey ,Monterey ,60.9,Non-Rural,2016
Seaside/Marina/Sand City ,Monterey ,59.8,Non-Rural,2016
Central Santa Ana ,Orange ,58.6,Non-Rural,2016
 123.2-Graegle,Plumas ,59.4,Rural,2016
Banning/Beaumont ,Riverside ,59.3,Non-Rural,2016
Canyon Lake/Perris/Sun City Service A,Riverside ,57.8,Non-Rural,2016
Chairaco Summit/Desert Center ,Riverside ,50.6,Rural,2016
Eastside/ Riverside Dtn ,Riverside ,57,Non-Rural,2016
Hemet/San Jacinto ,Riverside ,53.8,Non-Rural,2016
Riverside  ,Riverside ,59,Non-Rural,2016
Riverside ,Riverside ,48.8,Non-Rural,2016
Fruitridge/ Oak Park ,Sacramento ,62,Non-Rural,2016
Walnut Grove,Sacramento ,57.3,Rural,2016
Sacramento ,Sacramento ,61.8,Non-Rural,2016
Adelanto,San Bernardino ,58.9,Non-Rural,2016
Barstow,San Bernardino ,60.4,Rural,2016
Needles ,San Bernardino ,59.4,Rural,2016
San Bernadino ,San Bernardino ,59.3,Non-Rural,2016
San Bernardino ,San Bernardino ,58.7,Non-Rural,2016
Encanto/Lincoln Acres/National Cty/Paradise Hills,San Diego ,61.9,Non-Rural,2016
Mid-City East ,San Diego ,58.5,Non-Rural,2016
Mid-City West ,San Diego ,58.5,Non-Rural,2016
San Diego  ,San Diego ,59.7,Non-Rural,2016
San Diego ,San Diego ,50.5,Non-Rural,2016
Golden Gate Park/parkside ,San Francisco ,59.5,Non-Rural,2016
San Francisco ,San Francisco ,54.8,Non-Rural,2016
San Joaquin ,San Joaquin ,54.6,Non-Rural,2016
Arroyo Grande ,San Luis Obispo ,50.1,Non-Rural,2016
Morro Bay,San Luis Obispo ,56.5,Rural,2016
San Mateo ,San Mateo ,58.8,Non-Rural,2016
Guadalupe ,Santa Barbara ,61.1,Non-Rural,2016
Santa Clara ,Santa Clara ,61.9,Non-Rural,2016
Central Shasta ,Shasta ,61.1,Rural,2016
East Shasta/burney ,Shasta ,61,Rural,2016
Anderson/Cottonwood,Shasta ,61.5,Non-Rural,2016
East Sierra ,Sierra ,61.6,Rural,2016
West Sierra ,Sierra ,57.6,Rural,2016
Butte Valley,Siskiyou ,52,Rural,2016
Dunsmuir,Siskiyou ,62,Rural,2016
Etna/Fort Jones ,Siskiyou ,61.7,Rural,2016
McCloud-Medicine,Siskiyou ,50.7,Rural,2016
Hornbrook-Hilt,Siskiyou ,55,Rural,2016
Tule Lake,Siskiyou ,47.7,Rural,2016
 Rio Vista,Solano ,47,Rural,2016
Solano ,Solano ,59.9,Non-Rural,2016
Sonoma ,Sonoma ,50.2,Non-Rural,2016
Stanislaus ,Stanislaus ,61.1,Non-Rural,2016
Live Oak ,Sutter ,56.3,Non-Rural,2016
Meridian-robbins,Sutter ,57.1,Non-Rural,2016
South Sutter,Sutter ,61.1,Non-Rural,2016
Corning,Tehama ,61.1,Rural,2016
Hayfork ,Trinity ,54.7,Rural,2016
Mad River ,Trinity ,57.2,Rural,2016
Junction City/Weaverville,Trinity ,61.1,Rural,2016
Woodlake/Ivanhoe,Tulare ,54.2,Non-Rural,2016
Three Rivers,Tulare ,59.8,Rural,2016
Tulare ,Tulare ,56.2,Rural,2016
Tuolumne County,Tuolumne ,54.5,Rural,2016
Ventura ,Ventura ,61,Non-Rural,2016
Yolo ,Yolo ,53.2,Non-Rural,2016
Brownsville ,Yuba ,56,Non-Rural,2016
Wheatland,Yuba ,56.3,Non-Rural,2016
