Designated Area Name,County,Index of Medical Underservice Score,Rural Status,Year
Alameda ,Alameda ,58.3,Non-Rural,2007
Amador County,Amador ,58.8,Rural,2007
Feather Falls ,Butte ,50,Rural,2007
Oroville/Palermo ,Butte ,56.9,Rural,2007
Conta Costa ,Contra Costa ,56.7,Non-Rural,2007
Del Norte County,Del Norte ,61,Rural,2007
North El Dorado County,El Dorado ,58.8,Rural,2007
Pollock Pines,El Dorado ,61.2,Non-Rural,2007
Fresno ,Fresno ,59.7,Non-Rural,2007
Laton/Riverdale ,Fresno ,56.8,Rural,2007
Coalinga/Huron,Fresno ,59.4,Rural,2007
Kerman,Fresno ,53.9,Non-Rural,2007
San Joaquin-Tranquility ,Fresno ,60.9,Rural,2007
Firebaugh/ Mendota,Fresno,55.5,Rural,2007
Firebaugh/ Mendota,Merced ,55.5,Rural,2007
Orland ,Glenn ,56.8,Rural,2007
Arcata ,Humboldt ,59.8,Rural,2007
Ferndale ,Humboldt ,62,Rural,2007
Garberville/Redway ,Humboldt ,60.9,Rural,2007
McKinleyville ,Humboldt ,60.9,Rural,2007
North Coastal ,Humboldt ,58.3,Rural,2007
Willow Creek,Humboldt ,59.8,Rural,2007
Calexico ,Imperial ,51.03,Non-Rural,2007
West Imperial ,Imperial ,46,Rural,2007
Lone Pine/ Independence ,Inyo ,57.7,Rural,2007
Bakersfield East/Lakeview/La Loma ,Kern ,56.8,Non-Rural,2007
Kern ,Kern ,60.13,Rural,2007
Avenal ,Kings ,59.2,Rural,2007
Corcoran ,Kings ,59.3,Rural,2007
Lake County,Lake ,55.4,Rural,2007
Honey Lake ,Lassen ,60.6,Rural,2007
Westwood,Lassen ,58.4,Rural,2007
Boyle Higt C/ Cty Ter W,Los Angeles ,55.8,Non-Rural,2007
Chinatown/Dowtown/Echo Park South ,Los Angeles ,55,Non-Rural,2007
Compton East ,Los Angeles ,53.7,Non-Rural,2007
Culver City East ,Los Angeles ,52.7,Non-Rural,2007
Dntwn S. E./ Florence N.,Los Angeles ,49,Non-Rural,2007
Exposition/ Leimert Park ,Los Angeles ,53.6,Non-Rural,2007
Firestone/ Florence S.,Los Angeles ,53.7,Non-Rural,2007
Gardena ,Los Angeles ,58.3,Non-Rural,2007
Gardena W./ Hawthorne,Los Angeles ,61.2,Non-Rural,2007
Glassell P/glendale S E,Los Angeles ,58.5,Non-Rural,2007
Inglewood East,Los Angeles ,58.2,Non-Rural,2007
Juniper Hills/ Littlerock,Los Angeles ,60.3,Non-Rural,2007
Lake Los Angeles,Los Angeles ,60.2,Non-Rural,2007
Long Beach Port ,Los Angeles ,61.1,Non-Rural,2007
Long Beach/ West Central,Los Angeles ,59.9,Non-Rural,2007
Los Angeles ,Los Angeles ,57.3,Non-Rural,2007
Lynwood S/ Paramount N W,Los Angeles ,57.6,Non-Rural,2007
Pico Union/Westlake,Los Angeles ,51,Non-Rural,2007
El Sereno/Highland Park/Lincoln Heights,Los Angeles ,60.9,Non-Rural,2007
North Hollywood,Los Angeles ,55.9,Non-Rural,2007
North Long Beach ,Los Angeles ,59.9,Non-Rural,2007
Pacoima East/ Sun Valley,Los Angeles ,61.3,Non-Rural,2007
Panorama City,Los Angeles ,59.8,Non-Rural,2007
Pomona E./ Pomona S. ,Los Angeles ,57,Non-Rural,2007
Rosemead/ San Gabriel ,Los Angeles ,57.7,Non-Rural,2007
S. Central N. E. ,Los Angeles ,48.8,Non-Rural,2007
South Central Northwest,Los Angeles ,57.2,Non-Rural,2007
South Central S. W. ,Los Angeles ,47.9,Non-Rural,2007
Van Nuys Central ,Los Angeles ,61.1,Non-Rural,2007
Watts/ Willowbrook,Los Angeles ,51.1,Non-Rural,2007
Westlake ,Los Angeles ,60.1,Non-Rural,2007
Marin City Housing Project,Marin ,56.8,Non-Rural,2007
Mariposa,Mariposa ,59.9,Rural,2007
Mendocino County,Mendocino ,59.7,Rural,2007
 95/Ballico/Cressey/Delhi/Hilmar/Livingston,Merced ,61.3,Non-Rural,2007
MODOC ,Modoc ,53.8,Rural,2007
Monterey ,Monterey ,60.9,Non-Rural,2007
Seaside/Marina/Sand City ,Monterey ,59.8,Non-Rural,2007
Central Santa Ana ,Orange ,58.6,Non-Rural,2007
 123.2-Graegle,Plumas ,59.4,Rural,2007
Banning/Beaumont ,Riverside ,59.3,Non-Rural,2007
Canyon Lake/Perris/Sun City Service A,Riverside ,57.8,Non-Rural,2007
