Designated Area Name,County,Index of Medical Underservice Score,Rural Status,Year
Mendocino County,Mendocino ,59.7,Rural,2013
 95/Ballico/Cressey/Delhi/Hilmar/Livingston,Merced ,61.3,Non-Rural,2013
MODOC ,Modoc ,53.8,Rural,2013
Monterey ,Monterey ,60.9,Non-Rural,2013
Seaside/Marina/Sand City ,Monterey ,59.8,Non-Rural,2013
Central Santa Ana ,Orange ,58.6,Non-Rural,2013
 123.2-Graegle,Plumas ,59.4,Rural,2013
Banning/Beaumont ,Riverside ,59.3,Non-Rural,2013
Canyon Lake/Perris/Sun City Service A,Riverside ,57.8,Non-Rural,2013
Chairaco Summit/Desert Center ,Riverside ,50.6,Rural,2013
Eastside/ Riverside Dtn ,Riverside ,57,Non-Rural,2013
Hemet/San Jacinto ,Riverside ,53.8,Non-Rural,2013
Riverside  ,Riverside ,59,Non-Rural,2013
Riverside ,Riverside ,48.8,Non-Rural,2013
Fruitridge/ Oak Park ,Sacramento ,62,Non-Rural,2013
Walnut Grove,Sacramento ,57.3,Rural,2013
Sacramento ,Sacramento ,61.8,Non-Rural,2013
Adelanto,San Bernardino ,58.9,Non-Rural,2013
Barstow,San Bernardino ,60.4,Rural,2013
Needles ,San Bernardino ,59.4,Rural,2013
San Bernadino ,San Bernardino ,59.3,Non-Rural,2013
San Bernardino ,San Bernardino ,58.7,Non-Rural,2013
Encanto/Lincoln Acres/National Cty/Paradise Hills,San Diego ,61.9,Non-Rural,2013
Mid-City East ,San Diego ,58.5,Non-Rural,2013
Mid-City West ,San Diego ,58.5,Non-Rural,2013
San Diego  ,San Diego ,59.7,Non-Rural,2013
San Diego ,San Diego ,50.5,Non-Rural,2013
Golden Gate Park/parkside ,San Francisco ,59.5,Non-Rural,2013
San Francisco ,San Francisco ,54.8,Non-Rural,2013
San Joaquin ,San Joaquin ,54.6,Non-Rural,2013
Arroyo Grande ,San Luis Obispo ,50.1,Non-Rural,2013
Morro Bay,San Luis Obispo ,56.5,Rural,2013
San Mateo ,San Mateo ,58.8,Non-Rural,2013
Guadalupe ,Santa Barbara ,61.1,Non-Rural,2013
Santa Clara ,Santa Clara ,61.9,Non-Rural,2013
Central Shasta ,Shasta ,61.1,Rural,2013
East Shasta/burney ,Shasta ,61,Rural,2013
Anderson/Cottonwood,Shasta ,61.5,Non-Rural,2013
East Sierra ,Sierra ,61.6,Rural,2013
West Sierra ,Sierra ,57.6,Rural,2013
Butte Valley,Siskiyou ,52,Rural,2013
Dunsmuir,Siskiyou ,62,Rural,2013
Etna/Fort Jones ,Siskiyou ,61.7,Rural,2013
McCloud-Medicine,Siskiyou ,50.7,Rural,2013
Hornbrook-Hilt,Siskiyou ,55,Rural,2013
Tule Lake,Siskiyou ,47.7,Rural,2013
 Rio Vista,Solano ,47,Rural,2013
Solano ,Solano ,59.9,Non-Rural,2013
Sonoma ,Sonoma ,50.2,Non-Rural,2013
Stanislaus ,Stanislaus ,61.1,Non-Rural,2013
Live Oak ,Sutter ,56.3,Non-Rural,2013
Meridian-robbins,Sutter ,57.1,Non-Rural,2013
South Sutter,Sutter ,61.1,Non-Rural,2013
Corning,Tehama ,61.1,Rural,2013
Hayfork ,Trinity ,54.7,Rural,2013
Mad River ,Trinity ,57.2,Rural,2013
Junction City/Weaverville,Trinity ,61.1,Rural,2013
Woodlake/Ivanhoe,Tulare ,54.2,Non-Rural,2013
Three Rivers,Tulare ,59.8,Rural,2013
Tulare ,Tulare ,56.2,Rural,2013
Tuolumne County,Tuolumne ,54.5,Rural,2013
Ventura ,Ventura ,61,Non-Rural,2013
Yolo ,Yolo ,53.2,Non-Rural,2013
Brownsville ,Yuba ,56,Non-Rural,2013
Wheatland,Yuba ,56.3,Non-Rural,2013
