Designated Area Name,County,Index of Medical Underservice Score,Rural Status,Year
Chairaco Summit/Desert Center ,Riverside ,50.6,Rural,2012
Eastside/ Riverside Dtn ,Riverside ,57,Non-Rural,2012
Hemet/San Jacinto ,Riverside ,53.8,Non-Rural,2012
Riverside  ,Riverside ,59,Non-Rural,2012
Riverside ,Riverside ,48.8,Non-Rural,2012
Fruitridge/ Oak Park ,Sacramento ,62,Non-Rural,2012
Walnut Grove,Sacramento ,57.3,Rural,2012
Sacramento ,Sacramento ,61.8,Non-Rural,2012
Adelanto,San Bernardino ,58.9,Non-Rural,2012
Barstow,San Bernardino ,60.4,Rural,2012
Needles ,San Bernardino ,59.4,Rural,2012
San Bernadino ,San Bernardino ,59.3,Non-Rural,2012
San Bernardino ,San Bernardino ,58.7,Non-Rural,2012
Encanto/Lincoln Acres/National Cty/Paradise Hills,San Diego ,61.9,Non-Rural,2012
Mid-City East ,San Diego ,58.5,Non-Rural,2012
Mid-City West ,San Diego ,58.5,Non-Rural,2012
San Diego  ,San Diego ,59.7,Non-Rural,2012
San Diego ,San Diego ,50.5,Non-Rural,2012
Golden Gate Park/parkside ,San Francisco ,59.5,Non-Rural,2012
San Francisco ,San Francisco ,54.8,Non-Rural,2012
San Joaquin ,San Joaquin ,54.6,Non-Rural,2012
Arroyo Grande ,San Luis Obispo ,50.1,Non-Rural,2012
Morro Bay,San Luis Obispo ,56.5,Rural,2012
San Mateo ,San Mateo ,58.8,Non-Rural,2012
Guadalupe ,Santa Barbara ,61.1,Non-Rural,2012
Santa Clara ,Santa Clara ,61.9,Non-Rural,2012
Central Shasta ,Shasta ,61.1,Rural,2012
East Shasta/burney ,Shasta ,61,Rural,2012
Anderson/Cottonwood,Shasta ,61.5,Non-Rural,2012
East Sierra ,Sierra ,61.6,Rural,2012
West Sierra ,Sierra ,57.6,Rural,2012
Butte Valley,Siskiyou ,52,Rural,2012
Dunsmuir,Siskiyou ,62,Rural,2012
Etna/Fort Jones ,Siskiyou ,61.7,Rural,2012
McCloud-Medicine,Siskiyou ,50.7,Rural,2012
Hornbrook-Hilt,Siskiyou ,55,Rural,2012
Tule Lake,Siskiyou ,47.7,Rural,2012
 Rio Vista,Solano ,47,Rural,2012
Solano ,Solano ,59.9,Non-Rural,2012
Sonoma ,Sonoma ,50.2,Non-Rural,2012
Stanislaus ,Stanislaus ,61.1,Non-Rural,2012
Live Oak ,Sutter ,56.3,Non-Rural,2012
Meridian-robbins,Sutter ,57.1,Non-Rural,2012
South Sutter,Sutter ,61.1,Non-Rural,2012
Corning,Tehama ,61.1,Rural,2012
Hayfork ,Trinity ,54.7,Rural,2012
Mad River ,Trinity ,57.2,Rural,2012
Junction City/Weaverville,Trinity ,61.1,Rural,2012
Woodlake/Ivanhoe,Tulare ,54.2,Non-Rural,2012
Three Rivers,Tulare ,59.8,Rural,2012
Tulare ,Tulare ,56.2,Rural,2012
Tuolumne County,Tuolumne ,54.5,Rural,2012
Ventura ,Ventura ,61,Non-Rural,2012
Yolo ,Yolo ,53.2,Non-Rural,2012
Brownsville ,Yuba ,56,Non-Rural,2012
Wheatland,Yuba ,56.3,Non-Rural,2012
