Designated Area Name,County,Index of Medical Underservice Score,Rural Status,Year
Alameda ,Alameda ,58.3,Non-Rural,2012
Amador County,Amador ,58.8,Rural,2012
Feather Falls ,Butte ,50,Rural,2012
Oroville/Palermo ,Butte ,56.9,Rural,2012
Conta Costa ,Contra Costa ,56.7,Non-Rural,2012
Del Norte County,Del Norte ,61,Rural,2012
North El Dorado County,El Dorado ,58.8,Rural,2012
Pollock Pines,El Dorado ,61.2,Non-Rural,2012
Fresno ,Fresno ,59.7,Non-Rural,2012
Laton/Riverdale ,Fresno ,56.8,Rural,2012
Coalinga/Huron,Fresno ,59.4,Rural,2012
Kerman,Fresno ,53.9,Non-Rural,2012
San Joaquin-Tranquility ,Fresno ,60.9,Rural,2012
Firebaugh/ Mendota,Fresno,55.5,Rural,2012
Firebaugh/ Mendota,Merced ,55.5,Rural,2012
Orland ,Glenn ,56.8,Rural,2012
Arcata ,Humboldt ,59.8,Rural,2012
Ferndale ,Humboldt ,62,Rural,2012
Garberville/Redway ,Humboldt ,60.9,Rural,2012
McKinleyville ,Humboldt ,60.9,Rural,2012
North Coastal ,Humboldt ,58.3,Rural,2012
Willow Creek,Humboldt ,59.8,Rural,2012
Calexico ,Imperial ,51.03,Non-Rural,2012
West Imperial ,Imperial ,46,Rural,2012
Lone Pine/ Independence ,Inyo ,57.7,Rural,2012
Bakersfield East/Lakeview/La Loma ,Kern ,56.8,Non-Rural,2012
Kern ,Kern ,60.13,Rural,2012
Avenal ,Kings ,59.2,Rural,2012
Corcoran ,Kings ,59.3,Rural,2012
Lake County,Lake ,55.4,Rural,2012
Honey Lake ,Lassen ,60.6,Rural,2012
Westwood,Lassen ,58.4,Rural,2012
Boyle Higt C/ Cty Ter W,Los Angeles ,55.8,Non-Rural,2012
Chinatown/Dowtown/Echo Park South ,Los Angeles ,55,Non-Rural,2012
Compton East ,Los Angeles ,53.7,Non-Rural,2012
Culver City East ,Los Angeles ,52.7,Non-Rural,2012
Dntwn S. E./ Florence N.,Los Angeles ,49,Non-Rural,2012
Exposition/ Leimert Park ,Los Angeles ,53.6,Non-Rural,2012
Firestone/ Florence S.,Los Angeles ,53.7,Non-Rural,2012
Gardena ,Los Angeles ,58.3,Non-Rural,2012
Gardena W./ Hawthorne,Los Angeles ,61.2,Non-Rural,2012
Glassell P/glendale S E,Los Angeles ,58.5,Non-Rural,2012
Inglewood East,Los Angeles ,58.2,Non-Rural,2012
Juniper Hills/ Littlerock,Los Angeles ,60.3,Non-Rural,2012
Lake Los Angeles,Los Angeles ,60.2,Non-Rural,2012
Long Beach Port ,Los Angeles ,61.1,Non-Rural,2012
Long Beach/ West Central,Los Angeles ,59.9,Non-Rural,2012
Los Angeles ,Los Angeles ,57.3,Non-Rural,2012
Lynwood S/ Paramount N W,Los Angeles ,57.6,Non-Rural,2012
Pico Union/Westlake,Los Angeles ,51,Non-Rural,2012
El Sereno/Highland Park/Lincoln Heights,Los Angeles ,60.9,Non-Rural,2012
North Hollywood,Los Angeles ,55.9,Non-Rural,2012
North Long Beach ,Los Angeles ,59.9,Non-Rural,2012
Pacoima East/ Sun Valley,Los Angeles ,61.3,Non-Rural,2012
Panorama City,Los Angeles ,59.8,Non-Rural,2012
Pomona E./ Pomona S. ,Los Angeles ,57,Non-Rural,2012
Rosemead/ San Gabriel ,Los Angeles ,57.7,Non-Rural,2012
S. Central N. E. ,Los Angeles ,48.8,Non-Rural,2012
South Central Northwest,Los Angeles ,57.2,Non-Rural,2012
South Central S. W. ,Los Angeles ,47.9,Non-Rural,2012
Van Nuys Central ,Los Angeles ,61.1,Non-Rural,2012
Watts/ Willowbrook,Los Angeles ,51.1,Non-Rural,2012
Westlake ,Los Angeles ,60.1,Non-Rural,2012
Marin City Housing Project,Marin ,56.8,Non-Rural,2012
Mariposa,Mariposa ,59.9,Rural,2012
Mendocino County,Mendocino ,59.7,Rural,2012
 95/Ballico/Cressey/Delhi/Hilmar/Livingston,Merced ,61.3,Non-Rural,2012
MODOC ,Modoc ,53.8,Rural,2012
Monterey ,Monterey ,60.9,Non-Rural,2012
Seaside/Marina/Sand City ,Monterey ,59.8,Non-Rural,2012
Central Santa Ana ,Orange ,58.6,Non-Rural,2012
 123.2-Graegle,Plumas ,59.4,Rural,2012
Banning/Beaumont ,Riverside ,59.3,Non-Rural,2012
Canyon Lake/Perris/Sun City Service A,Riverside ,57.8,Non-Rural,2012
