FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Air pollution-particulate matter days - PM Days,Air pollution-particulate matter days - Z-Score,Air pollution-ozone days - Ozone Days,Air pollution-ozone days - Z-Score
6027,California,Inyo,2012,247,8263,6710,9816,0.85,,,,,0,104,2.9,1.4,4.5,-1.17,,,,,0,23,18,29,-0.34,2798,20,18,21,0.18,27,157,638:1,3180,34,27,40,-1.35,67.5,57,77,-0.58,954,9558,10,-1.06,793,21,15,26,-0.27,1,-0.71,9,-0.51
6029,California,Kern,2012,8405,8414,8200,8629,0.94,1703,24,22,27,1.2,1688,4.4,4,4.9,0.67,1650,17,15,20,0.74,29,26,32,1.13,156590,22,21,23,0.86,511,64,1560:1,40661,75,72,77,1.71,57.9,55,60,1.26,58554,368546,15.9,0.49,76107,30,28,33,1.13,41,2.91,110,2.69
6031,California,Kings,2012,1314,7636,7163,8109,0.47,262,23,18,29,0.89,259,4.4,3.2,5.6,0.67,254,13,9,19,-0.3,28,23,33,0.8,31296,24,21,26,1.31,66,44,2254:1,8892,68,62,74,1.22,55.9,50,61,1.63,10126,61350,16.5,0.65,12484,30,25,34,1.05,18,0.83,46,0.66
6033,California,Lake,2012,1161,9583,8789,10377,1.65,220,22,15,31,0.75,220,4.4,3.2,5.6,0.67,216,20,14,28,1.29,27,22,32,0.58,10591,20,18,22,0.29,40,61,1627:1,9088,58,53,64,0.5,62.6,57,68,0.35,4585,25303,18.1,1.07,3969,30,23,37,1.06,4,-0.44,0,-0.79
6035,California,Lassen,2012,350,7322,6246,8399,0.28,126,16,10,23,-0.29,126,3.8,2.6,5,-0.07,,,,,0,27,21,33,0.53,5774,19,17,21,0.03,18,52,1919:1,2976,72,62,82,1.53,57.8,48,67,1.28,1953,13755,14.2,0.04,1144,19,13,24,-0.53,0,-0.8,0,-0.79
6037,California,Los Angeles,2012,78540,5776,5725,5827,-0.65,9758,22,21,24,0.85,9695,3.8,3.6,4,-0.07,9465,14,13,15,-0.06,22,20,23,-0.86,2150986,25,24,25,1.68,9131,93,1071:1,535136,62,61,63,0.76,56.1,55,57,1.6,617215,4879481,12.6,-0.38,578160,25,24,25,0.3,22,1.19,79,1.71
6039,California,Madera,2012,1414,7313,6840,7786,0.28,329,31,24,40,2.39,325,5.7,3.9,7.4,2.26,318,13,9,19,-0.32,30,25,36,1.51,31570,24,22,26,1.54,78,53,1892:1,10129,58,53,62,0.43,64.5,58,70,-0.02,10420,66960,15.6,0.41,13394,32,25,38,1.33,1,-0.71,15,-0.32
6041,California,Marin,2012,1790,3846,3564,4128,-1.82,737,8,6,11,-1.62,735,3.4,2.6,4.1,-0.56,725,9,6,12,-1.29,15,13,18,-2.56,24435,12,11,13,-2.01,416,168,597:1,24368,32,30,34,-1.46,71.4,67,75,-1.34,10844,131410,8.3,-1.51,5609,11,8,13,-1.64,6,-0.26,0,-0.79
6043,California,Mariposa,2012,275,8617,7044,10189,1.07,,,,,0,90,3.2,1.6,4.9,-0.8,,,,,0,24,19,31,-0.07,2391,17,15,19,-0.53,7,39,2566:1,3321,47,39,55,-0.35,64.5,55,73,-0.02,1150,9523,12.1,-0.51,718,22,16,28,-0.01,0,-0.8,38,0.41
6045,California,Mendocino,2012,1129,8430,7727,9134,0.95,336,16,12,22,-0.27,330,3.7,2.6,4.9,-0.19,329,20,13,31,1.43,23,19,27,-0.51,15633,22,20,24,0.86,94,110,913:1,11971,44,40,48,-0.58,61.4,56,66,0.58,4900,43066,11.4,-0.7,5402,29,21,36,0.89,3,-0.53,0,-0.79
6047,California,Merced,2012,2163,7184,6818,7550,0.2,456,27,21,33,1.61,453,4.1,3.3,4.9,0.3,439,15,11,20,0.06,32,27,37,1.98,46305,21,20,23,0.72,132,54,1851:1,19712,59,55,62,0.51,61.9,58,65,0.49,20291,107381,18.9,1.28,25055,31,27,36,1.29,29,1.82,30,0.16
6049,California,Modoc,2012,136,9413,7056,11770,1.55,,,,,0,,,,,0,,,,,0,25,19,32,0.09,1596,22,20,24,0.94,3,33,3030:1,1815,50,39,61,-0.13,55.3,43,67,1.74,587,4151,14.1,0.02,664,33,25,40,1.45,0,-0.8,0,-0.79
6051,California,Mono,2012,86,5445,3783,7106,-0.85,66,8,3,19,-1.6,66,4,1.9,6.2,0.18,65,8,3,21,-1.55,21,15,26,-1.14,2275,21,19,23,0.6,9,70,1431:1,906,29,16,41,-1.71,67.5,49,85,-0.58,895,8692,10.3,-0.99,448,15,11,19,-1.05,0,-0.8,0,-0.79
6053,California,Monterey,2012,2780,5225,4987,5463,-0.98,864,23,19,27,0.89,857,3.3,2.7,4,-0.68,847,13,10,16,-0.39,22,19,26,-0.62,86616,24,23,25,1.45,282,70,1439:1,38263,43,41,45,-0.63,66.7,63,69,-0.44,28032,219661,12.8,-0.33,28298,26,22,30,0.5,0,-0.8,1,-0.76
6055,California,Napa,2012,1173,5365,4925,5806,-0.9,376,15,9,22,-0.48,374,3.7,2.5,4.9,-0.19,367,8,5,12,-1.53,22,18,27,-0.67,19954,18,16,19,-0.33,131,98,1020:1,11937,48,44,52,-0.27,69.7,63,75,-1.01,7308,74424,9.8,-1.12,4563,15,11,18,-1.1,10,0.11,0,-0.79
6057,California,Nevada,2012,986,5630,5068,6191,-0.74,393,10,6,17,-1.24,391,2.5,1.5,3.5,-1.66,384,15,10,20,0.08,21,17,25,-1.14,12170,16,14,17,-0.93,83,85,1172:1,14334,43,39,46,-0.67,72.2,67,76,-1.49,5825,50612,11.5,-0.67,3235,17,13,21,-0.73,1,-0.71,63,1.2
6059,California,Orange,2012,19891,4597,4514,4681,-1.36,5779,15,14,17,-0.39,5755,3.1,2.9,3.4,-0.92,5616,12,11,13,-0.56,21,19,22,-1.11,522055,20,19,20,0.23,3272,109,914:1,183042,47,46,48,-0.34,66.9,65,68,-0.47,151169,1580859,9.6,-1.17,118904,16,15,18,-0.85,8,-0.07,14,-0.35
6061,California,Placer,2012,2795,5031,4766,5295,-1.1,937,9,7,12,-1.41,934,3.1,2.5,3.7,-0.92,916,11,8,14,-0.84,20,18,23,-1.17,33604,12,11,13,-2.06,402,118,848:1,25744,36,34,38,-1.17,74.5,70,78,-1.92,20328,177097,11.5,-0.67,9054,11,9,13,-1.67,11,0.2,62,1.17
6063,California,Plumas,2012,285,6745,5470,8019,-0.06,117,7,3,15,-1.85,116,3.2,1,5.4,-0.8,,,,,0,24,19,30,-0.15,2510,16,14,18,-0.79,19,93,1072:1,4163,65,57,74,1.01,66.7,58,75,-0.43,1690,10036,16.8,0.73,783,22,16,28,-0.01,2,-0.62,0,-0.79
6065,California,Riverside,2012,18751,6762,6642,6881,-0.05,4043,19,18,21,0.3,4029,3.8,3.5,4.1,-0.07,3943,15,13,17,0.11,28,26,30,0.8,414921,23,22,23,1.03,986,47,2118:1,107189,55,53,56,0.23,62.5,61,64,0.36,134317,913801,14.7,0.17,143511,23,22,25,0.15,36,2.46,107,2.6
6067,California,Sacramento,2012,13472,6857,6709,7004,0,3054,14,12,15,-0.69,3039,3.5,3.2,3.9,-0.43,2981,15,13,17,0.15,28,26,31,1,192214,16,15,17,-0.9,1352,98,1025:1,68750,47,45,48,-0.38,62.5,60,65,0.38,86257,674880,12.8,-0.33,84466,24,21,26,0.17,22,1.19,46,0.66
6069,California,San Benito,2012,367,4662,4050,5273,-1.32,112,18,10,29,0.02,111,3.1,1.8,4.4,-0.92,107,5,2,12,-2.21,24,19,31,-0.13,9218,19,17,20,-0.02,22,40,2491:1,4804,57,50,64,0.39,64.2,56,72,0.04,4523,25766,17.6,0.94,2777,17,13,22,-0.71,0,-0.8,6,-0.6
6071,California,San Bernardino,2012,18930,7346,7220,7472,0.3,3841,20,18,21,0.37,3827,4.2,3.9,4.5,0.42,3750,17,15,18,0.55,28,26,30,0.94,390141,22,21,23,0.77,1284,64,1561:1,74040,65,63,67,0.96,55.8,54,58,1.64,121889,855660,14.2,0.04,144956,25,22,27,0.33,26,1.55,116,2.88
6073,California,San Diego,2012,23353,5543,5453,5633,-0.79,6527,16,14,17,-0.34,6491,3.4,3.1,3.6,-0.56,6340,13,12,15,-0.2,23,22,25,-0.45,500631,19,18,20,-0.02,2831,94,1067:1,176542,46,45,47,-0.45,61.6,60,63,0.54,164320,1558186,10.5,-0.93,136770,19,18,21,-0.47,3,-0.53,38,0.41
6075,California,San Francisco,2012,7021,5757,5568,5946,-0.66,1637,16,14,19,-0.19,1630,3.1,2.7,3.5,-0.92,1590,13,10,15,-0.39,17,15,19,-2.07,103131,15,14,16,-1.16,1781,220,454:1,58812,49,47,51,-0.2,63.5,61,66,0.18,43579,457989,9.5,-1.2,15392,15,11,18,-1.1,4,-0.44,0,-0.79
6077,California,San Joaquin,2012,6637,7338,7121,7556,0.29,1312,20,17,23,0.44,1299,3.7,3.2,4.3,-0.19,1279,18,15,21,0.84,30,27,33,1.46,114489,19,18,20,0.09,470,70,1423:1,41236,61,58,63,0.65,62.5,60,65,0.36,51786,298937,17.3,0.86,51509,26,23,29,0.52,28,1.73,23,-0.06
6079,California,San Luis Obispo,2012,2289,5603,5284,5922,-0.75,827,11,9,14,-1.08,824,3,2.5,3.5,-1.05,806,12,9,16,-0.56,22,19,25,-0.81,38869,18,16,19,-0.39,228,86,1163:1,32746,38,36,40,-1.01,70.2,67,73,-1.1,13827,136162,10.2,-1.01,7527,15,11,19,-1.04,0,-0.8,35,0.32
6081,California,San Mateo,2012,4920,4254,4085,4423,-1.57,1457,14,11,18,-0.58,1453,3.2,2.7,3.7,-0.8,1394,14,10,17,-0.18,20,18,23,-1.25,80232,13,12,14,-1.69,871,123,813:1,47549,38,37,40,-0.99,70.4,67,73,-1.15,33093,372382,8.9,-1.35,13301,9,6,11,-1.98,4,-0.44,0,-0.79
