FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Income inequality - 80th Percentile Income,Income inequality - 20th Percentile Income,Income inequality - Income Ratio,Income inequality - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score,Severe housing problems - # Household with Severe Problems,Severe housing problems - % Severe Housing Problems,Severe housing problems - 95% CI - Low,Severe housing problems - 95% CI - High,Severe housing problems - Z-Score
6019,California,Fresno,2015,8503,6784,6602,6966,0.26,2163,23,21,26,1.01,2148,4.2,3.7,4.6,0.4,2107,14,12,16,-0.24,29,26,32,1.34,187092,22,21,23,1.08,607,64,1562:1,0.19,62739,53,51,55,0.72,59.9,57.8,62.1,0.13,57716,448138,12.9,0.76,115339,42,40,44,2.5,94241,18745,5,0.55,9.6,0.74,29560,3,-0.31,82180,29,28,30,1.14
6021,California,Glenn,2015,305,6947,5861,8033,0.36,132,28,18,42,1.95,,,,,0,129,15,9,25,0.01,26,20,33,0.58,5455,23,21,25,1.25,4,14,6998:1,1.89,3957,51,44,59,0.58,53.9,45.3,62.4,1.12,1562,12805,12.2,0.56,2131,29,22,35,0.68,92706,17720,5.2,0.94,8,-0.73,350,2,-0.45,1890,20,16,24,-1.37
6023,California,Humboldt,2015,1764,8140,7590,8691,1.08,669,12,9,16,-1.19,668,4.1,3.4,4.8,0.26,661,19,15,23,0.81,26,22,30,0.52,23679,21,19,23,0.65,97,72,1390:1,-0.08,17330,39,36,42,-0.53,66.4,62.2,70.5,-0.92,5138,58414,8.8,-0.45,6550,26,21,30,0.29,82508,17472,4.7,-0.02,8.2,-0.54,240,0,-0.61,13590,25,24,27,0.15
6025,California,Imperial,2015,1380,5338,4976,5699,-0.6,431,29,24,34,2.08,425,4.6,3.7,5.5,0.94,423,12,9,17,-0.57,22,17,28,-0.53,33450,23,21,24,1.16,39,22,4537:1,1.62,17297,61,58,65,1.44,45.9,42.3,49.6,2.41,19652,80249,24.5,4.19,15594,31,25,37,1.01,89718,15953,5.6,1.68,9.4,0.6,15737,9,0.22,13745,29,27,30,1.07
6027,California,Inyo,2015,240,5836,4676,6996,-0.3,,,,,0,114,3.4,1.8,5,-0.7,,,,,0,23,17,29,-0.32,2953,20,18,22,0.42,17,92,1088:1,-0.76,3442,33,27,40,-0.97,62.3,52.5,72.2,-0.27,738,9065,8.1,-0.64,894,23,18,28,-0.04,93676,19833,4.7,-0.02,11.3,2.3,423,3,-0.38,1615,20,17,24,-1.24
6029,California,Kern,2015,8499,7313,7118,7508,0.58,2021,24,21,26,1.06,2004,4.7,4.2,5.2,1.08,1968,16,14,19,0.23,28,25,31,1.19,157093,21,20,22,0.68,425,50,2014:1,0.68,44371,67,65,70,1.93,52.7,50.4,55,1.31,46350,394230,11.8,0.42,77009,31,27,34,0.95,98321,19769,5,0.45,9.2,0.4,109850,13,0.59,67835,27,26,28,0.64
6031,California,Kings,2015,1271,6324,5903,6746,-0.01,307,27,21,33,1.68,303,5.4,4.1,6.6,2.04,299,13,9,18,-0.55,24,19,29,-0.06,23788,20,18,21,0.3,57,38,2656:1,1.09,9683,63,57,68,1.54,52.7,47.8,57.6,1.31,8117,60027,13.5,0.95,11605,28,23,33,0.62,92869,21028,4.4,-0.6,8.9,0.07,66076,46,3.66,9665,24,22,26,-0.3
6033,California,Lake,2015,1235,10269,9354,11185,2.35,298,20,15,28,0.43,296,4.9,3.8,6,1.35,294,25,18,32,2.12,27,22,32,0.76,10612,21,19,23,0.55,36,56,1777:1,0.46,10726,54,50,59,0.84,54.5,49.7,59.3,1.02,3180,26752,11.9,0.46,4272,34,27,41,1.39,77613,15696,4.9,0.4,7.2,-1.43,833,1,-0.5,6775,26,24,29,0.46
6035,California,Lassen,2015,354,6821,5841,7801,0.29,179,18,13,26,0.01,178,4.2,3.1,5.3,0.4,177,18,11,29,0.7,24,19,30,0.06,2777,13,12,15,-1.68,16,48,2104:1,0.75,3346,63,54,72,1.57,51.7,43,60.4,1.47,1348,12475,10.8,0.14,1095,20,15,24,-0.48,93302,21833,4.3,-0.87,11.1,2.14,200,1,-0.56,2190,22,18,26,-0.87
6037,California,Los Angeles,2015,75412,5066,5018,5114,-0.77,13397,22,21,24,0.81,13326,3.8,3.6,4,-0.15,13100,12,11,13,-0.59,21,20,22,-0.76,2138687,25,24,25,1.76,7174,72,1389:1,-0.08,551473,54,54,55,0.84,54,53.3,54.7,1.1,489618,4960326,9.9,-0.13,624784,27,26,28,0.54,116591,22029,5.3,1.05,8.1,-0.62,94653,1,-0.54,1114140,35,34,35,2.79
6039,California,Madera,2015,1482,6703,6248,7158,0.21,413,31,25,38,2.48,408,4.3,3.2,5.4,0.53,402,14,10,19,-0.26,28,23,33,1.08,31334,25,23,27,1.8,70,46,2175:1,0.81,11323,49,45,53,0.37,60.4,55.3,65.4,0.06,7891,69413,11.4,0.31,13563,32,26,38,1.18,89502,20768,4.3,-0.8,9.9,1.03,8721,7,0.06,11390,27,25,29,0.66
6041,California,Marin,2015,1854,3501,3225,3776,-1.7,934,10,7,13,-1.63,932,3.4,2.7,4.1,-0.7,922,10,7,13,-1.17,16,13,19,-2.37,24772,12,11,13,-2.03,366,143,700:1,-2.5,28036,30,28,32,-1.25,65,61.6,68.4,-0.7,7157,141894,5,-1.56,5417,10,8,13,-1.77,192363,34735,5.5,1.52,7.5,-1.17,1315,1,-0.58,24290,24,22,25,-0.33
6043,California,Mariposa,2015,239,7094,5488,8701,0.45,117,17,9,28,-0.32,117,3.2,1.7,4.7,-0.97,113,20,12,34,1.21,24,19,30,0.06,2558,19,17,21,-0.04,5,28,3581:1,1.42,3299,39,32,46,-0.52,58.3,49,67.6,0.39,856,9256,9.2,-0.32,754,26,19,32,0.28,100017,20082,5,0.46,10.1,1.17,1417,24,1.61,1385,18,14,22,-1.86
6045,California,Mendocino,2015,1151,7323,6670,7976,0.59,423,16,12,21,-0.42,417,4.2,3,5.4,0.4,416,18,12,27,0.72,24,20,29,0.09,15743,22,20,24,0.95,83,95,1053:1,-0.86,13109,36,33,39,-0.76,58.4,54.1,62.7,0.37,3371,43497,7.7,-0.76,5329,29,22,35,0.74,85430,17357,4.9,0.35,7.3,-1.38,4031,7,-0.02,9545,28,26,30,0.91
6047,California,Merced,2015,2273,6581,6244,6918,0.14,572,23,19,28,0.93,568,4.6,3.8,5.5,0.94,555,12,9,16,-0.73,31,26,37,2.1,48296,21,19,22,0.6,119,45,2204:1,0.83,21914,52,49,55,0.59,63.5,59.9,67.1,-0.45,16534,112650,14.7,1.29,26870,34,30,39,1.44,86390,18914,4.6,-0.32,9.1,0.25,20204,10,0.26,21065,28,27,30,1.04
6049,California,Modoc,2015,158,9307,6851,11764,1.77,,,,,0,,,,,0,,,,,0,24,18,31,0.06,1597,22,20,24,1.05,3,32,3109:1,1.28,1843,46,36,57,0.15,48.4,37.3,59.4,2.01,437,3743,11.7,0.4,598,33,25,42,1.35,78231,16446,4.8,0.04,10,1.1,0,0,-0.63,840,21,16,27,-0.99
6051,California,Mono,2015,69,3449,2683,4365,-1.73,,,,,0,,,,,0,,,,,0,22,16,29,-0.67,2868,23,20,25,1.22,8,56,1794:1,0.47,1040,21,11,30,-2.08,67.8,50.5,85.1,-1.16,709,8209,8.6,-0.5,524,19,14,24,-0.64,98397,30125,3.3,-2.78,11,2.05,850,7,0.05,1395,26,19,33,0.28
6053,California,Monterey,2015,2882,4991,4756,5227,-0.81,1046,24,21,28,1.12,1040,3.9,3.2,4.5,-0.02,1029,13,10,16,-0.55,22,19,25,-0.56,85113,24,22,25,1.46,266,62,1604:1,0.25,43202,36,35,38,-0.72,63.5,60.8,66.2,-0.45,22449,221569,10.1,-0.06,27175,24,21,28,0.13,115310,25821,4.5,-0.51,7.2,-1.42,2652,1,-0.56,38065,30,29,31,1.59
6055,California,Napa,2015,1150,4739,4329,5150,-0.96,462,17,11,25,-0.28,460,3.4,2.3,4.5,-0.7,453,9,6,13,-1.44,24,20,29,0.06,20865,18,17,20,-0.14,137,99,1015:1,-0.99,13045,46,42,49,0.07,63.5,58.4,68.7,-0.45,4896,78320,6.3,-1.2,4207,14,10,17,-1.31,134976,31320,4.3,-0.8,7.6,-1.12,55836,40,3.11,12625,25,24,27,0.18
6057,California,Nevada,2015,1015,5872,5235,6509,-0.28,515,9,6,15,-1.72,511,3,1.9,4,-1.25,506,14,10,20,-0.19,18,15,22,-1.78,12783,17,15,18,-0.67,73,74,1346:1,-0.16,15163,36,33,39,-0.76,70.3,65.6,75,-1.56,3856,49761,7.7,-0.76,3072,18,14,22,-0.76,110918,24771,4.5,-0.49,9.6,0.73,100,0,-0.61,10180,24,22,27,-0.08
6059,California,Orange,2015,20067,4179,4100,4259,-1.3,6878,15,13,16,-0.71,6853,3.1,2.8,3.3,-1.11,6713,11,10,12,-0.9,21,19,22,-0.94,518145,19,19,20,0.15,2908,94,1063:1,-0.83,193106,39,38,40,-0.5,64.1,62.8,65.4,-0.55,100354,1610933,6.2,-1.21,134278,19,17,20,-0.62,146026,31512,4.6,-0.19,7.6,-1.05,0,0,-0.63,284315,29,28,29,1.14
6061,California,Placer,2015,3033,4922,4653,5191,-0.85,1188,9,7,11,-1.82,1185,2.7,2.2,3.1,-1.66,1167,8,6,11,-1.53,23,20,26,-0.41,38166,13,12,14,-1.88,419,116,863:1,-1.58,31184,33,31,35,-1.03,69.3,66,72.5,-1.4,13617,179207,7.6,-0.8,8068,10,7,12,-1.88,135278,31095,4.4,-0.73,9.3,0.48,2570,1,-0.55,26020,20,19,21,-1.38
6063,California,Plumas,2015,318,8246,6565,9927,1.14,,,,,0,138,4.1,2.2,6.1,0.26,133,14,8,25,-0.13,25,19,30,0.26,2804,19,17,21,0.05,15,77,1293:1,-0.26,4451,51,44,58,0.57,64.2,56.2,72.3,-0.57,1148,9138,12.6,0.66,797,25,19,31,0.2,89742,18264,4.9,0.34,10.4,1.46,7027,37,2.83,2070,22,18,26,-0.8
6065,California,Riverside,2015,18993,5627,5519,5734,-0.43,4974,20,18,21,0.26,4958,4,3.7,4.3,0.12,4874,15,13,16,-0.08,26,24,28,0.58,440991,23,22,23,1.14,919,41,2469:1,0.99,111705,50,49,51,0.46,57.4,55.8,59,0.54,97864,953199,10.3,-0.02,146552,24,22,26,0.1,109775,24130,4.5,-0.35,9.4,0.57,32475,2,-0.49,191300,28,28,29,1.03
6067,California,Sacramento,2015,14009,6353,6212,6494,0.01,3768,14,12,16,-0.82,3747,3.5,3.2,3.8,-0.56,3696,15,13,16,-0.08,27,25,29,0.87,221492,18,17,18,-0.42,1149,79,1262:1,-0.33,77375,40,38,41,-0.43,58.6,56.7,60.5,0.35,59779,679983,8.8,-0.45,92187,26,24,28,0.33,107650,23197,4.6,-0.18,8.7,-0.09,360,0,-0.62,120760,24,23,24,-0.32
6069,California,San Benito,2015,384,4915,4247,5583,-0.86,155,18,13,25,-0.01,154,3.6,2.4,4.8,-0.43,,,,,0,23,18,29,-0.18,9461,19,17,20,-0.04,21,37,2709:1,1.11,5611,52,46,59,0.66,61.7,54.5,68.8,-0.15,2958,26555,11.1,0.24,2907,19,14,23,-0.65,120263,28724,4.2,-1.04,7.9,-0.77,880,2,-0.46,4895,29,26,33,1.24
6071,California,San Bernardino,2015,18802,6379,6262,6496,0.02,4545,19,18,21,0.24,4525,4.2,3.9,4.5,0.4,4452,16,15,18,0.27,28,26,30,1.11,400237,22,21,22,0.87,1199,58,1736:1,0.41,77845,58,56,60,1.16,50.8,49,52.6,1.62,87045,865138,10.1,-0.08,151926,27,25,29,0.44,104581,22625,4.6,-0.21,10.4,1.5,26487,1,-0.51,172650,29,28,29,1.15
6073,California,San Diego,2015,23335,4882,4799,4966,-0.88,7966,16,15,17,-0.42,7928,3.5,3.3,3.7,-0.56,7777,12,11,13,-0.64,23,21,24,-0.38,500305,18,18,19,-0.13,2462,77,1290:1,-0.27,194379,39,38,40,-0.5,56.2,55,57.4,0.74,120009,1590038,7.5,-0.82,138588,19,18,21,-0.54,125191,26121,4.8,0.11,7.9,-0.83,14405,0,-0.58,283105,27,26,27,0.52
