FIPS,State,County,Year,Premature death (Years of Potential Life Lost) - Deaths,Premature death (Years of Potential Life Lost) - YPLL Rate,Premature death (Years of Potential Life Lost) - 95% CI - Low,Premature death (Years of Potential Life Lost) - 95% CI - High,Premature death (Years of Potential Life Lost) - Z-Score,Poor or Fair Health - Sample Size,Poor or Fair Health - % Fair/Poor,Poor or Fair Health - 95% CI - Low,Poor or Fair Health - 95% CI - High,Poor or Fair Health - Z-Score,Poor physical health days - Sample Size,Poor physical health days - Physically Unhealthy Days,Poor physical health days -  95% CI - Low,Poor physical health days - 95% CI - High,Poor physical health days - Z-Score,Adult smoking - Sample Size,Adult smoking - % Smokers,Adult smoking - 95% CI - Low,Adult smoking - 95% CI - High,Adult smoking - Z-Score,Adult obesity - % Obese,Adult obesity - 95% CI - Low,Adult obesity - 95% CI - High,Adult obesity - Z-Score,Uninsured adults - # Uninsured,Uninsured adults - % Uninsured,Uninsured adults - 95% CI - Low,Uninsured adults - 95% CI - High,Uninsured adults - Z-Score,PCP No,PCP Rate,PCP Ratio,PCP Z-Score,Preventable hospital stays - No of Medicare enrollees,Preventable hospital stays - ACSC Rate,Preventable hospital stays - 95% CI - Low,Preventable hospital stays - 95% CI - High,Preventable hospital stays - Z-Score,Mammography screening - Mammography Rate,Mammography screening - 95% CI - Low,Mammography screening - 95% CI - High,Mammography screening - Z-Score,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % unemployed,Unemployment - Z-Score,Children in poverty - # Children in Poverty,Children in poverty - % Children in Poverty,Children in poverty - 95% CI - Low,Children in poverty - 95% CI - High,Children in poverty - Z-Score,Daily fine particulate matter - Average daily PM25,Daily fine particulate matter - Z-Score,Drinking water safety - % pop in viol,Drinking water safety - Pop. In Viol,Drinking water safety - Z-Score
6093,California,Siskiyou,2013,680,8516,7472,9561,1.44,255,22,14,31,0.7,253,4.3,2.9,5.6,0.82,252,24,16,33,2.08,25,21,31,0.21,7022,20,18,21,0.16,30,67,1496:1,0.03,7746,44,39,49,-0.59,64.1,58,70,-0.02,3294,19829,16.6,0.84,2835,32,25,38,1.17,10.3,-0.87,0,0,-0.61
6095,California,Solano,2013,4006,6389,6118,6660,-0.02,843,17,13,21,-0.13,840,4,3.1,4.8,0.35,826,14,11,18,-0.02,27,24,31,0.65,51013,14,13,15,-1.38,302,73,1371:1,-0.19,22911,45,42,48,-0.53,47.6,44,51,2.9,24646,215472,11.4,-0.52,18147,18,15,21,-0.68,10.7,-0.52,0,0,-0.61
6097,California,Sonoma,2013,4275,5233,5003,5462,-0.81,1719,14,12,17,-0.64,1708,3.8,3.2,4.3,0.04,1685,14,12,17,-0.04,23,20,26,-0.48,72057,18,16,19,-0.43,453,93,1070:1,-0.92,37984,39,37,41,-0.97,66.3,63,69,-0.41,25136,257279,9.8,-0.94,16590,16,13,19,-1.03,9.9,-1.23,1,1034,-0.52
6099,California,Stanislaus,2013,4989,6810,6567,7053,0.27,1357,23,20,27,1.02,1350,4.2,3.7,4.8,0.66,1326,17,14,20,0.56,31,27,34,1.61,89607,20,18,21,0.19,335,65,1538:1,0.09,27695,65,62,68,1.06,63.3,60,67,0.11,39791,236573,16.8,0.89,45615,32,29,35,1.17,12.1,0.67,28,5665,2.18
6101,California,Sutter,2013,959,6862,6284,7439,0.3,227,23,16,32,0.9,225,4.3,2.9,5.7,0.82,216,18,11,28,0.76,27,22,32,0.51,17798,22,20,24,0.78,79,83,1200:1,-0.56,10058,64,59,69,0.98,64.4,59,70,-0.08,8153,43305,18.8,1.42,6248,25,19,30,0.18,10.9,-0.36,21,955,1.52
6103,California,Tehama,2013,806,7902,7104,8699,1.02,262,26,19,35,1.45,262,5.9,4.1,7.7,3.32,257,18,12,27,0.88,25,21,31,0.18,11421,22,19,24,0.75,24,38,2651:1,1.06,10080,48,43,52,-0.3,66,61,71,-0.36,3813,25374,15,0.42,4288,28,20,35,0.61,11.3,0,16,1703,1.01
6105,California,Trinity,2013,243,8555,6604,10506,1.46,,,,,0,78,4.1,2.5,5.7,0.51,,,,,0,24,18,30,-0.29,2210,20,18,22,0.37,5,36,2753:1,1.11,2267,67,56,78,1.2,54.4,44,65,1.7,898,5058,17.8,1.16,798,33,24,42,1.41,11.2,-0.08,3,235,-0.29
6107,California,Tulare,2013,4091,7367,7091,7643,0.65,1108,26,23,29,1.43,1099,4.8,4.1,5.5,1.6,1079,16,12,19,0.23,31,27,35,1.81,92846,23,22,25,1.28,190,43,2334:1,0.88,34919,73,70,76,1.67,61.5,59,64,0.43,34578,208098,16.6,0.84,48335,34,30,38,1.46,13.1,1.5,11,23681,0.54
6109,California,Tuolumne,2013,710,6682,5873,7491,0.18,288,12,8,18,-0.95,287,3.7,2.6,4.9,-0.12,281,21,14,29,1.37,23,19,28,-0.43,6502,16,15,18,-0.79,52,94,1061:1,-0.94,9689,37,33,41,-1.13,68.9,63,75,-0.89,3376,25890,13,-0.1,2238,24,19,30,0.15,13.3,1.67,0,0,-0.61
6111,California,Ventura,2013,6026,5058,4884,5232,-0.93,2015,15,13,18,-0.45,2007,3.5,3,3.9,-0.43,1963,12,10,15,-0.48,23,21,26,-0.37,130774,18,17,19,-0.23,566,69,1458:1,-0.03,66228,45,43,47,-0.52,65.6,63,68,-0.29,43922,437011,10.1,-0.86,33696,16,14,19,-0.96,9.6,-1.47,0,83,-0.61
6113,California,Yolo,2013,1405,4891,4560,5222,-1.05,581,16,12,21,-0.25,576,3.7,2.8,4.5,-0.12,574,7,5,10,-1.58,26,22,31,0.46,28425,16,15,18,-0.82,223,111,901:1,-1.54,9126,33,29,37,-1.44,66.7,60,73,-0.49,12092,97750,12.4,-0.26,8951,21,17,24,-0.38,10.8,-0.47,0,0,-0.61
6115,California,Yuba,2013,856,7940,7260,8620,1.04,246,22,16,29,0.74,246,4.1,3,5.1,0.51,243,14,9,20,-0.17,31,26,37,1.81,11971,19,17,21,-0.11,20,28,3618:1,1.42,6319,75,68,82,1.8,57.5,51,64,1.15,5088,27995,18.2,1.26,5565,27,21,33,0.53,11.2,-0.11,0,153,-0.59
